author,year,title,container,publisher,doi,url,File,ID
Agee; James K.,1993,Fire ecology of Pacific Northwest Forests,,Island Press,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,1
"c(""Agee"", ""Skinner""); c(""James K."", ""Carl N."")","2005, 2005",Basic Principles of Forest Fuel Reduction Treatments,Forest Ecology and Management,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,2
"c(""Allan"", ""Wipfli"", ""Caouette"", ""Prussian"", ""Rodgers""); c(""J.D."", ""M.S."", ""J.P."", ""A."", ""J."")",2003,Influence of streamside vegetation on inputs of terrestrial invertebrates to salmonid food webs,Canadian Journal of Fisheries and Aquatic Sciences,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,3
Allen; J.D.,1995,Stream Ecology: Structure and Function of Running Waters,,Academic Publishers MA,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,4
"c(""Altman"", ""Hagar""); c(""B."", ""J."")","2007, 2006",Rainforest birds: a land manager^a??s guide to breeding bird habitat in young conifer forests in the Pacific Northwest,U S Geological Survey Scientific Investigations Report,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,5
"c(""Anderson"", ""Larson"", ""Chan""); c(""P.D."", ""D.J."", ""S.S."")",2007,Riparian buffer and density management influences on microclimate of young headwater forests of western Oregon,Forest Science,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,6
"c(""Beechie"", ""Pess"", ""Kennard"", ""Bilby"", ""Bolton""); c(""T.J."", ""G."", ""P."", ""R.E."", ""S."")",2000,Modeling recovery rates and pathways for woody debris recruitment in northwestern Washington streams,North American Journal of Fisheries Management,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,7
"c(""Benda"", ""Bigelow""); c(""L."", ""P."")",2014,On the patterns and processes of wood in northern California streams,Geomorphology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,8
"c(""Benda"", ""Sias""); c(""L."", ""J."")",2003,A quantitative framework for evaluating the mass balance of wood in streams,Journal of Forest Ecology and Management,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,9
"c(""Benda"", ""Miller"", ""Andras"", ""Bigelow"", ""Reeves"", ""Michael""); c(""L."", ""D."", ""K."", ""P."", ""G."", ""D."")",2007,NetMap: a new tool in support of watershed science and resource management,Forest Science,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,10
"c(""Benda"", ""Andras"", ""Miller"", ""Bigelow""); c(""L."", ""K."", ""D."", ""P."")",2004,"Confluence effects in rivers: Interactions of basin scale, network geometry, and disturbance regimes",Water Resources Research,,10.1029/2003WR002583.,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,11
"c(""Berglund"", ""Jonsson""); c(""H."", ""B.Gunnar"")","2003, 2003",Nested plant and fungal communities; the importance of area and habitat quality in maximizing species capture in boreal old-growth forests,Biological Conservation,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,12
"c(""Beschta"", ""Bilby"", ""Brown"", ""Holtby"", ""Hofstra""); c(""R.L."", ""R.E."", ""G.W."", ""L.B."", ""T.D."")",1987,Stream temperature and aquatic habitat: fisheries and forestry interactions,Streamside management forestry and fishery interactions,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,13
"c(""Blakeley-Smith"", ""Kaye""); c(""Matt"", ""Thomas N."")",2008,,,BLM,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,14
"c(""Brown"", ""Krygier""); c(""G.W."", ""J.T."")",1970,Effects of clear-cutting on stream temperature,Water Resources Research,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,15
"c(""Brown"", ""Snell""); c(""James K."", ""J.A.Kendal"")",1980,,Pacific Northwest Forest and Range Experiment Station GTR,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,16
"c(""Bryan"", ""Forsman""); c(""T."", ""E.D."")",1987,"Distribution, abundance, and habitat of Great Gray Owls in south central Oregon",The Murrelet,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,17
Burke; T.E.,2013,Land snails and slugs of the Pacific Northwest,,Oregon State University Press,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,18
"c(""Byrd"", ""Parker"", ""Vogler"", ""Cullings""); c(""K.B."", ""V.T."", ""D.R."", ""K.W."")",2000,"The influence of clear-cutting on ectomycorrhizal fungus diversity in a lodgepole pine (Pinus contorta) stand, Yellowstone National Park, Wyoming, and Gallatin National Forest, Montana",Canadian Journal of Botany,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,19
Toledo; L.D.; de,1999,"Ecological scale and forest development: squirrels, dietary fungi, and vascular plants in managed and unmanaged forests",Wildland Monographs,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,20
"c(""Compton"", ""Church"", ""Larned"", ""Hogsett""); c(""J.E."", ""M.R."", ""S.T."", ""W.E."")","2012, 2003","Cascades of Oregon, final progress report for field season 1, Nitrogen export from forested watersheds in the Oregon Coast Range: the role of N2-fixing red alder",Ecosystems,,,http://www.dfw.state.or.us/images/video_gallery/forest_carnivore_research_project.asp,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,21
"c(""Cook"", ""Johnson"", ""Cook"", ""Riggs"", ""Delcurto"", ""Bryant"", ""Irwin""); c(""J.G."", ""B.K."", ""R.C."", ""R.A."", ""T."", ""L.D."", ""L.L."")",2004,Effects of summer-autumn nutrition and parturition date on reproduction and survival of elk,Wildlife Monographs,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,22
Cummins; K.W.,2002,Riparian-stream linkage paradigm,Verhandlungen des Internationalen Verein Limnologie,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,23
Dahlberg; A.,2002,Effects of fire on ectomycorrhizal fungi in Fennoscandian boreal forests,Silva Fennica,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,24
"c(""Dahlberg"", ""Schimmel"", ""Taylor"", ""Johannesson""); c(""A."", ""J."", ""A.F.S."", ""H."")",2001,Post-fire legacy of ectomycorrhizal fungal communities in the Swedish boreal forest in relation to fire severity and logging intensity,Biological Conservation,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,25
"c(""Danehy"", ""Chan"", ""Lester"", ""Langshaw"", ""Turner""); c(""R.J."", ""S.S."", ""G.T."", ""R.B."", ""T.R."")",2007,"Periphyton and Macroinvertebrate Assemblage Structure in Headwaters Bordered by Mature, Thinned, and Clearcut Douglas-Fir Stands",Forest Science,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,26
"c(""Davis"", ""Lint"", ""Lint""); c(""R."", ""J."", ""J."")",2005,"Habitat status and trends, Northwest Forest Plan^a??the first 10 years (1994^a??2003): status and trends of northern spotted owl populations and habitat",,USDA Forest Service Pacific Northwest Research Station,,http://www.reo.gov/monitoring/data-maps/nso-data-maps.shtml,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,27
"c(""Dimling"", ""McCain""); c(""Jennifer"", ""Cindy"")",1996,Willamette National Forest Special Habitat Management Guide,,Pacific Northwest Region,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,28
Doerr; J.,2012,Process to Identify Stands Addressed by Recovery Action 32 in the Willamette National Forest,,Willamette National Forest Supervisors Office,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,29
"c(""Doerr"", ""Young""); c(""J."", ""T."")",2009,,Unpublished Report Interagency Special Status Species Program USDI Bureau of Land Management and USDA Forest Service,,,http://www.fs.fed.us/r6/sfpnw/issssp/species-index/fauna-invertebrates.shtml,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,30
"c(""Duncan"", ""Hayward""); c(""J.R."", ""P.H."")",1994,"Review of technical knowledge: Great Gray Owls, Flammulated, Boreal, and Great Gray Owls in the United States: A technical conservation assessment",,Fort Collins US Department of Agriculture,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,31
"c(""Duncan"", ""Burke"", ""Dowlan"", ""Hohenlohe"", ""Durall"", ""Gamiet"", ""Simard"", ""Kudrna"", ""Sakakibara""); c(""N."", ""T."", ""S."", ""P."", ""D.M."", ""S."", ""S.W."", ""L."", ""S.M."")","2003, 2006",Effects of clearcut logging and tree species composition on the diversity and community composition of epigeous fruit bodies formed by ectomycorrhizal fungi,Oregon Canadian Journal of Botany,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,32
Feller; M.C.,1981,Effects of clearcutting and slashburning on stream temperatures in southwestern British Columbia,Watershed Resources Bulletin,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,33
Team; Forest Ecosystem Management Assessment,1993,"Forest ecosystem management: an ecological, economic, and social assessment",Report of the Forest Ecosystem Management Assessment Team US Government Printing Office 1993793071,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,34
Land Management; Bureau; of,1994,,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,35
Land Management; Bureau; of,1999,"Management recommendations for the Oregon red tree vole, Arborimus longicaudus, Version 2.0",Region,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,36
,,,,,,http://www.blm.gov/or/plans/surveyandmanage/files/mr-rtv-v2-2000-09-att1.pdf,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,37
Land Management; Bureau; of,1999,"Management Recommendations for Terrestrial Mollusk Species, Megomphix hemphilli, Version 2.0",Region,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,38
Land Management; Bureau; of,2001,"Record of decision and standards and guidelines for amendments to the survey and manage, protection buffer, and other mitigation measures standards and guidelines",Region,,,http://www.blm.gov/or/plans/surveyandmanage/files/mr-ig-megomphix-hemphilli-2000.pdf,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,39
Land Management; Bureau; of,2012,,Region,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,40
,,,,,,http://www.blm.gov/or/plans/surveyandmanage/files/sp-RedTreeVole-v3-0-2012-11.pdf,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,41
Land Management; Bureau; of,2013,Incorporating migratory and resident bird concerns into the National Environmental Policy Act process,,Np,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,42
Service; Forest,1985,"Management of wildlife and fish habitats in forests of western Oregon and Washington, part 1-chapter narratives",Region,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,43
Service; Forest,1990,Final environmental impact statement for Land and Resource Management Plan: Willamette National Forest,,Np,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,44
Service; Forest,1991,Wildlife and vegetation of unmanaged Douglas-fir forests,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,45
Service; Forest,2011,Monitoring and evaluation report: Willamette National Forest-Fiscal Year 2011,,Supervisor^a??s Office,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,46
Service; Forest,2012,"DecAID, the decayed wood advisor for managing snags, partially dead trees, and down wood for biodiversity in forests of Washington and Oregon",,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,47
,,,,,,http://www.fs.fed.us/r6/nr/wildlife/decaid/,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,48
"Forsman, E. D., and 26 others.",2011,Population demography of northern spotted owls,Studies in Avian Biology,Univ California Press,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,49
,,Fourth-order watershed in coastal Oregon,Canadian Journal of Forest Research,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,50
"c(""Franklin"", ""Johnson""); c(""J.F."", ""K.N."")","2012, 2012",A restoration framework for federal forests in the Pacific Northwest,Journal of Forestry,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,51
character(0); character(0); logical(0),2000,Threads of continuity,Conservation Biology Practice,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,52
character(0); character(0); logical(0),2003,,,PNWGTR557,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,53
"c(""Gomi"", ""Moore"", ""Dhakal""); c(""T."", ""R.D."", ""A.S."")",2006,"Headwater stream temperature response to clear-cut harvesting with different riparian treatments, coastal British Columbia, Canada",Water Resources Research,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,54
"c(""Gregory"", ""Swanson"", ""McKee"", ""Cummins""); c(""S.V."", ""F.J."", ""W.A."", ""K.W."")",,An Ecosystem Perspective of Riparian Zones,BioScience,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,55
"c(""Griffiths"", ""Swanson""); c(""R.P."", ""A.K."")",2001,Forest soil characteristics in a chronosequence of harvested Douglasfir forests,Canadian Journal of Forest Research,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,56
Habek; J.R.,1994,"Dynamics of forest communities used by Great Gray Owls, Flammulated, Boreal, and Great Gray Owls in the United States: A technical conservation assessment",,Fort Collins US Department of Agriculture,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,57
character(0); character(0); logical(0),2003,,US Department of the Interior The Nature Conservancy,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,58
"c(""Harr"", ""Fredriksen""); c(""R.D."", ""R.L."")",1988,"Water quality after logging small watersheds within the Bull Run watershed, Oregon",Water Resources Bulletin,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,59
"c(""Harrington"", ""Roberts"", ""Brodie""); c(""C.A."", ""S.D."", ""L.C."")",2005,Tree and understory responses to variable density thinning in western Washington,Balancing Ecosystem Values US Department of Agriculture,Pacific Northwest Research Station Gen,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,60
