citation,agency,organization,journal,university,book
"• Rogers, P. C., P. Rosentreter, R. J. Ryel. 2007. Evansia, 24: 34-41. ",,,Evansia,,
"• Fettig, C.J., K.D. Klepzig, R.F. Billings, A.S. Munson, T.E. Nebeker, J.G. Negron, J.T. Nowak. 2007. The effectiveness of vegetation management practices for prevenetion and control of bark beetle infestations in coniferous forests of the western and southern United States. Forest Ecology and Management 238, 24-53. ",,,Forest Ecology and Management,,
"• Long J.N., 2009. Emulating natural disturbance regimes as a basis for forest management: A North American view. Forest Ecology and Management 257 (2009) 1868-1873 ",,,Forest Ecology and Management,,
"• Marcoux, H.M, L. D. Daniels, S. E. Gergel, E. D. Silva, Z. Gedalof, and P. F. Hessburg. 2015. Differentiating mixed- and high- severity fire regimes in mixed-conifer forests of the Canadian Cordillera. Forest Ecology and Management 341, 45-58.",,,Forest Ecology and Management,,
"• Ponder Jr, Felix, et al. ""Effects of organic matter removal, soil compaction and vegetation control on 10th year biomass and foliar nutrition: LTSP continent-wide comparisons."" Forest Ecology and Management278 (2012): 35-54 ",,,Forest Ecology and Management,,
"• Swanson, M. E., Franklin, J. F., Beschta, R. L., Crisafulli, C. M., DellaSala D. A., Hutto, R. L., Lindenmayer, D. B., Swanson, F. J. 2011. The forgotten stage of forest succession: early-successional ecosystems on forest sites. Frontiers in Ecology and the Environment: 9, 117-125. ",,,Frontiers in Ecology and the Environment,,
"• Falk, D. A. 2006. Process-centered restoration in a fire-adapted ponderosa pine forest. Journal for Nature Conservation: 14, 140-151. ",,,Journal for Nature Conservation,,
"• Potts, S.G., Vulliamy, B., Dafni, A., Ne’eman, G., O’Toole, C., Roberts, S., and Willmer, Pat. 2003. Response of plant pollinator communities to fire: changes in diversity, abundance and floral reward structure. Oikos: 101, 103-112. Agee, J. K., 1998. The landscape ecology of western forest fire regimes. Northwest Sci. 72, 24–34 ",,,Northwest Science,,
"• Bartos, D.L., 2001. Landscape Dynamics of Aspen and Conifer Forests. In: RMRS-P-18, Sustaining Aspen in Western Landscapes: Symposium Proceedings. May 2001, pp. 5- 14 ",,,Sustaining Aspen in Western Landscapes: Symposium Proceedings,,
"• Campbell Jr., RB and Bartos, DL. 2001. Aspen ecosystems: objectives for sustaining biodiversity. WD Shepperd et al (compilers).Sustaining Aspen in Western Landscapes: Symposium Proceedings. Proceedings RMRS-P-18. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. Fort Collins, CO. ",,,Sustaining Aspen in Western Landscapes: Symposium Proceedings,,
